"IDNgrid","Hood_ID","n"
"1",1,27
"10",1,5
"100",3,6
"100",4,1
"100",5,21
"101",3,26
"102",3,12
"102",22,2
"103",21,44
"103",22,50
"104",21,37
"105",21,51
"106",21,25
"107",19,24
"107",20,2
"108",20,9
"109",20,10
"11",1,140
"110",20,18
"111",14,21
"111",20,1
"112",14,42
"113",14,38
"114",14,36
"115",14,30
"116",14,14
"117",10,6
"117",14,6
"118",10,19
"119",10,16
"12",1,48
"120",10,13
"121",7,41
"122",6,19
"122",7,15
"123",6,67
"124",6,17
"125",5,4
"126",5,3
"126",23,21
"127",5,20
"127",23,9
"128",23,3
"129",22,44
"129",23,2
"13",1,39
"130",22,46
"131",21,15
"131",22,66
"132",21,20
"132",22,13
"133",21,12
"134",21,35
"135",19,21
"136",18,1
"136",19,17
"136",20,4
"137",18,1
"137",19,1
"137",20,22
"138",17,1
"138",20,2
"139",14,35
"139",17,5
"139",20,6
"14",1,75
"140",14,32
"141",14,7
"142",14,58
"143",14,43
"144",9,1
"144",10,1
"144",14,23
"144",15,2
"145",9,4
"145",10,7
"146",9,15
"146",10,10
"147",9,3
"147",10,3
"148",9,16
"149",7,19
"149",8,9
"149",9,11
"15",1,59
"150",7,11
"150",8,8
"151",6,4
"151",7,2
"151",8,17
"152",6,4
"152",8,18
"152",113,34
"153",23,42
"153",113,26
"154",23,48
"154",26,14
"155",23,23
"155",26,13
"156",23,46
"156",26,8
"157",22,19
"157",23,12
"157",25,3
"157",26,1
"158",22,14
"158",25,9
"159",22,17
"159",25,10
"16",1,54
"160",24,15
"160",25,12
"161",24,18
"162",21,4
"162",24,18
"163",21,4
"163",24,46
"164",18,11
"164",19,4
"165",17,3
"165",18,10
"166",17,6
"167",14,48
"167",17,17
"168",14,29
"168",16,10
"169",14,3
"169",16,7
"17",1,41
"17",2,2
"170",14,3
"170",16,7
"171",14,7
"171",16,11
"172",15,11
"172",16,2
"173",9,8
"173",15,22
"174",9,10
"175",9,13
"176",9,7
"177",8,19
"177",9,36
"178",8,18
"179",8,28
"179",113,36
"18",11,5
"180",113,62
"181",23,28
"181",113,17
"182",23,4
"182",26,3
"183",26,114
"184",26,66
"185",25,7
"186",25,71
"186",26,6
"187",25,56
"188",24,2
"188",25,80
"189",24,77
"19",11,2
"190",24,56
"191",24,29
"191",27,1
"192",18,19
"193",17,1
"193",18,30
"194",17,1
"194",18,1
"195",17,35
"196",16,21
"196",17,3
"197",16,6
"198",16,7
"199",16,23
"2",1,78
"20",1,13
"200",15,20
"200",16,7
"201",15,23
"201",114,2
"202",9,1
"202",15,10
"202",114,9
"203",111,12
"204",111,26
"205",9,9
"205",111,3
"205",115,1
"206",115,50
"207",30,42
"207",113,25
"207",115,3
"208",28,11
"208",30,26
"208",113,42
"209",23,2
"209",28,16
"209",113,20
"21",1,7
"210",23,4
"210",28,36
"211",26,87
"212",26,27
"213",25,9
"213",26,5
"214",25,32
"215",25,23
"215",27,8
"216",25,4
"216",27,11
"217",24,12
"217",25,3
"217",27,77
"218",27,21
"219",27,11
"22",1,22
"220",17,4
"221",17,22
"222",17,32
"223",16,3
"223",17,27
"224",16,30
"225",16,24
"226",16,9
"227",15,2
"227",16,1
"227",87,2
"227",89,1
"227",114,9
"228",89,10
"228",114,21
"229",89,30
"229",114,4
"23",1,109
"230",111,72
"231",111,28
"232",111,15
"232",115,11
"233",112,2
"233",115,40
"234",30,31
"234",112,4
"235",28,1
"235",30,22
"236",28,10
"236",29,7
"236",30,1
"237",28,11
"237",29,5
"238",26,16
"238",29,2
"239",26,32
"24",1,14
"240",25,2
"240",26,28
"241",26,43
"241",27,17
"242",27,26
"243",27,66
"244",27,68
"245",27,20
"246",27,27
"247",27,15
"248",17,39
"249",16,2
"249",17,7
"249",85,1
"25",1,9
"250",87,4
"251",87,13
"252",87,26
"252",88,2
"252",89,11
"252",114,1
"253",88,11
"253",89,34
"254",88,4
"254",89,11
"254",90,38
"255",90,23
"255",111,11
"256",90,17
"256",111,32
"257",110,24
"257",111,41
"257",115,2
"258",110,23
"258",112,3
"259",30,12
"259",112,24
"26",1,28
"260",30,33
"261",29,27
"261",30,15
"262",29,20
"263",26,8
"263",29,20
"264",26,39
"265",26,15
"266",26,15
"267",27,25
"268",27,56
"269",27,7
"27",1,165
"270",27,38
"271",27,15
"272",27,6
"273",17,1
"273",87,11
"274",87,2
"275",87,3
"276",87,3
"276",88,23
"277",88,13
"277",90,19
"278",90,25
"278",91,10
"279",90,14
"279",91,30
"28",1,32
"280",91,8
"280",109,4
"280",110,49
"281",109,9
"281",110,21
"281",112,9
"282",108,6
"282",109,4
"282",112,11
"283",30,8
"283",31,25
"284",29,1
"284",30,5
"284",31,28
"285",29,2
"285",31,14
"286",31,34
"287",26,26
"287",31,3
"288",26,7
"289",26,28
"289",27,6
"289",34,5
"29",1,32
"29",2,2
"290",27,4
"290",34,6
"291",27,6
"291",34,20
"292",27,41
"292",34,12
"293",27,8
"293",34,2
"294",27,7
"294",35,1
"295",27,1
"295",34,1
"295",35,14
"296",85,6
"296",87,7
"297",86,3
"297",87,14
"298",86,7
"298",87,14
"299",83,2
"299",86,5
"299",87,4
"299",88,12
"299",93,6
"3",1,57
"30",1,46
"30",2,9
"300",88,9
"300",91,1
"300",93,18
"301",91,23
"301",92,1
"301",93,13
"302",91,12
"302",92,17
"303",91,2
"303",92,16
"303",109,12
"304",107,3
"304",109,11
"305",107,7
"305",108,36
"305",109,17
"306",31,4
"306",108,21
"307",31,17
"308",31,45
"309",31,106
"31",1,49
"31",2,68
"310",26,5
"310",31,1
"310",33,4
"311",26,1
"311",33,95
"312",33,14
"313",26,3
"313",33,21
"313",34,1
"314",33,2
"314",34,27
"315",34,30
"316",34,14
"317",35,20
"318",35,52
"319",35,31
"319",36,9
"32",1,11
"32",2,27
"320",35,1
"321",85,1
"322",85,39
"322",86,26
"323",84,2
"323",85,10
"323",86,28
"324",83,11
"324",84,13
"324",86,9
"325",83,26
"325",93,7
"326",83,3
"326",93,47
"327",92,2
"327",93,38
"328",92,26
"328",93,4
"328",94,5
"328",107,1
"329",92,4
"329",94,3
"329",107,26
"33",1,4
"33",2,94
"330",107,43
"331",102,1
"331",106,5
"331",107,35
"331",108,10
"332",31,4
"332",102,16
"332",108,33
"333",31,10
"333",32,16
"333",102,1
"334",32,21
"335",31,2
"335",32,46
"336",32,24
"336",33,1
"337",32,2
"337",33,31
"337",38,1
"338",33,37
"338",38,7
"339",33,23
"339",38,4
"34",2,14
"340",33,7
"340",34,26
"340",38,1
"341",34,8
"341",37,3
"342",35,5
"342",37,11
"343",35,8
"343",36,10
"343",37,7
"344",35,5
"344",36,14
"345",35,9
"345",36,10
"346",35,3
"346",36,18
"347",82,4
"348",82,2
"348",85,40
"349",81,1
"349",82,3
"349",84,34
"349",85,9
"349",86,1
"35",12,19
"350",81,11
"350",83,3
"350",84,25
"351",80,18
"351",81,3
"351",83,13
"351",84,1
"352",80,15
"352",83,2
"352",93,22
"353",93,22
"353",94,6
"354",94,28
"355",94,16
"355",106,26
"355",107,2
"356",101,3
"356",106,23
"356",107,7
"357",101,7
"357",106,28
"358",101,3
"358",102,36
"358",106,8
"359",32,18
"359",39,13
"359",102,16
"36",11,2
"36",12,11
"360",32,12
"360",39,35
"360",103,6
"361",32,9
"361",39,25
"362",32,8
"362",39,40
"363",32,1
"363",39,39
"364",38,43
"364",39,6
"365",38,8
"366",38,14
"367",38,2
"368",37,11
"369",36,2
"369",37,15
"37",11,9
"37",12,7
"370",36,17
"371",36,30
"372",36,17
"373",82,10
"374",82,28
"374",85,1
"375",81,7
"375",82,29
"376",81,32
"377",80,18
"377",81,43
"378",79,12
"378",80,26
"378",95,6
"379",93,3
"379",95,25
"38",11,13
"38",13,4
"380",94,1
"380",95,17
"380",96,10
"381",94,13
"381",96,8
"381",101,2
"382",101,14
"382",106,1
"383",101,34
"384",100,3
"384",101,9
"384",102,1
"384",103,5
"385",39,3
"385",102,13
"385",103,35
"386",39,1
"386",103,30
"387",39,19
"387",103,1
"387",105,11
"388",39,9
"388",105,33
"389",39,30
"389",105,15
"39",11,33
"390",39,8
"391",39,3
"392",38,16
"392",51,5
"393",38,28
"393",51,21
"394",37,14
"394",38,9
"394",51,18
"395",37,10
"395",51,36
"396",36,90
"396",37,16
"396",50,14
"396",51,7
"397",36,10
"397",50,13
"398",36,20
"398",50,11
"399",82,5
"4",1,49
"40",11,14
"400",77,11
"400",82,30
"401",77,48
"401",82,19
"402",77,32
"402",78,46
"402",81,19
"402",82,10
"403",78,71
"403",79,14
"403",80,1
"403",81,8
"404",79,17
"404",95,3
"405",79,6
"405",95,16
"406",95,23
"406",96,7
"407",96,7
"407",97,6
"408",96,5
"408",97,5
"408",101,1
"409",97,4
"409",100,7
"409",104,4
"41",11,2
"410",100,14
"410",104,5
"411",100,23
"411",103,1
"411",104,3
"412",99,2
"412",100,1
"412",103,18
"413",103,18
"413",105,4
"414",103,1
"414",105,47
"415",41,2
"415",105,15
"416",39,15
"416",40,7
"416",41,6
"417",40,16
"418",40,13
"418",51,7
"419",51,18
"42",1,2
"420",51,18
"421",51,25
"422",50,3
"422",51,16
"423",50,5
"424",50,12
"425",49,1
"425",50,6
"426",77,14
"427",76,9
"427",77,84
"428",76,21
"428",77,35
"428",78,9
"429",76,39
"429",78,19
"43",1,9
"430",75,10
"430",76,31
"430",79,1
"431",75,15
"431",76,26
"431",95,14
"431",98,16
"432",95,14
"432",98,6
"433",95,1
"433",97,4
"433",98,8
"434",97,4
"434",98,12
"435",98,4
"435",104,2
"436",99,11
"436",104,13
"437",41,1
"437",99,21
"437",104,12
"438",41,4
"438",99,5
"439",41,7
"439",103,4
"44",1,194
"440",41,4
"440",103,3
"440",105,3
"441",105,1
"442",41,3
"443",40,4
"443",41,5
"444",40,14
"445",40,13
"445",52,2
"446",51,9
"446",52,19
"447",51,7
"447",52,2
"448",51,4
"448",52,10
"449",49,16
"449",50,2
"449",52,3
"45",1,15
"450",49,21
"450",50,1
"451",49,7
"452",49,1
"453",77,6
"454",76,10
"454",77,25
"455",73,8
"455",75,52
"455",76,22
"455",77,14
"456",73,49
"456",75,73
"456",76,19
"457",71,23
"457",73,26
"457",75,48
"458",71,12
"458",74,88
"458",75,16
"458",98,2
"459",98,10
"46",1,37
"460",98,12
"461",98,21
"462",56,8
"462",98,4
"463",56,9
"463",99,13
"464",56,8
"464",99,5
"465",41,2
"465",56,11
"466",41,9
"467",41,1
"468",42,1
"469",40,3
"469",42,4
"47",1,32
"470",40,11
"471",40,8
"472",52,17
"473",52,8
"474",52,3
"475",49,1
"475",52,2
"476",49,7
"477",48,4
"477",49,14
"478",48,2
"478",49,3
"479",77,3
"48",1,85
"480",73,13
"480",77,23
"481",72,24
"481",73,48
"482",71,16
"482",72,31
"482",73,21
"483",71,10
"484",67,10
"484",68,4
"484",98,2
"485",56,1
"485",67,7
"486",56,5
"487",56,8
"488",55,4
"488",56,24
"489",55,2
"489",56,8
"49",1,30
"490",55,5
"490",56,15
"491",42,2
"492",42,4
"493",42,13
"494",40,15
"494",42,2
"495",40,5
"496",52,37
"496",53,3
"497",47,8
"497",52,2
"498",47,15
"498",52,1
"499",47,29
"499",48,2
"499",49,1
"499",52,4
"5",1,23
"50",1,24
"50",2,4
"500",48,13
"500",49,8
"501",48,22
"502",48,10
"503",48,1
"504",70,4
"505",70,18
"506",70,3
"506",77,3
"507",70,24
"507",73,4
"507",77,3
"508",68,7
"508",70,24
"508",72,2
"509",68,18
"509",70,1
"51",1,1
"51",2,31
"51",3,18
"51",4,1
"510",67,8
"510",68,32
"510",69,2
"511",57,7
"511",59,2
"511",66,5
"511",67,12
"512",57,19
"512",58,1
"512",59,6
"513",57,3
"513",58,8
"514",55,26
"515",55,11
"516",42,9
"516",55,2
"517",41,1
"517",42,4
"518",42,19
"519",42,5
"52",2,19
"52",3,18
"520",42,8
"521",40,1
"521",42,3
"522",40,2
"522",45,18
"523",45,9
"523",53,19
"524",47,75
"524",53,20
"525",47,23
"526",47,12
"527",47,7
"527",48,13
"528",48,27
"529",48,4
"53",2,60
"530",70,3
"531",70,1
"532",70,15
"533",70,23
"534",68,4
"534",69,9
"534",70,25
"535",65,1
"535",68,3
"535",69,8
"536",59,7
"536",65,12
"536",66,23
"536",69,16
"537",58,1
"537",59,15
"538",58,10
"539",44,7
"539",54,3
"539",55,3
"54",2,18
"54",21,6
"540",44,17
"541",42,5
"541",44,5
"542",42,10
"543",42,4
"544",42,4
"545",45,4
"546",45,17
"547",45,20
"548",45,3
"548",53,8
"549",46,1
"549",53,29
"55",2,1
"55",21,5
"550",46,12
"550",47,5
"551",46,14
"552",46,21
"552",117,1
"553",46,9
"553",116,2
"553",117,2
"554",48,3
"554",116,3
"555",48,2
"555",116,9
"556",70,2
"557",65,12
"557",70,6
"558",64,1
"558",65,32
"558",70,5
"559",64,1
"559",65,18
"559",69,1
"559",70,10
"56",14,9
"560",64,6
"560",65,13
"560",66,7
"561",59,14
"562",58,1
"562",59,6
"563",54,1
"563",58,2
"564",44,7
"564",54,3
"565",44,11
"566",42,4
"567",42,14
"567",43,2
"568",43,2
"569",43,7
"569",45,7
"57",14,10
"570",45,10
"571",45,11
"572",45,34
"572",119,2
"573",45,8
"573",53,1
"573",118,1
"574",46,7
"574",53,1
"574",117,6
"574",118,8
"575",46,5
"575",117,15
"575",118,2
"576",46,6
"576",117,10
"577",117,29
"578",117,12
"579",116,32
"58",12,19
"580",116,21
"581",116,10
"582",63,6
"582",65,2
"582",70,7
"583",63,14
"583",64,8
"583",65,2
"584",62,6
"584",63,2
"584",64,15
"585",62,12
"585",64,21
"585",66,2
"586",59,3
"586",60,6
"586",62,6
"587",59,1
"587",60,7
"588",54,4
"589",54,12
"59",12,11
"59",13,21
"590",43,2
"590",54,12
"591",43,8
"592",43,13
"592",119,1
"593",43,14
"593",119,6
"594",43,12
"594",45,14
"594",119,5
"595",45,15
"595",119,7
"596",45,5
"596",119,12
"597",45,1
"597",119,21
"598",118,7
"598",119,3
"599",118,25
"6",1,35
"60",13,14
"600",117,1
"600",118,15
"601",117,9
"601",118,2
"602",117,17
"603",117,15
"604",116,15
"604",117,6
"605",116,33
"606",116,16
"606",130,20
"607",63,1
"608",63,19
"609",62,4
"609",63,20
"61",11,4
"61",13,23
"61",14,10
"610",62,30
"610",63,1
"611",60,4
"611",61,7
"611",62,36
"612",54,8
"612",60,1
"612",61,22
"613",54,19
"613",61,3
"613",120,4
"614",54,20
"614",120,7
"615",43,5
"615",54,6
"615",120,5
"616",43,16
"616",119,5
"616",120,13
"617",43,6
"617",119,17
"618",119,10
"619",119,34
"62",11,25
"62",14,2
"620",119,17
"621",119,18
"622",119,67
"623",119,14
"623",126,6
"624",118,7
"625",118,37
"626",117,2
"626",118,5
"627",117,6
"627",118,3
"628",117,9
"628",130,7
"629",117,4
"629",130,10
"63",11,13
"630",130,5
"631",130,23
"632",130,15
"633",63,13
"634",63,19
"634",122,2
"635",62,13
"635",63,2
"635",122,9
"636",61,13
"636",62,7
"636",121,15
"636",122,4
"637",61,7
"637",121,31
"638",120,18
"638",121,2
"639",120,6
"639",121,2
"64",11,16
"640",120,15
"641",120,62
"642",119,29
"642",120,31
"643",119,27
"644",119,5
"644",126,6
"645",119,28
"645",126,8
"646",119,3
"646",126,14
"647",119,12
"647",126,28
"648",126,85
"649",118,2
"649",126,3
"649",128,16
"65",7,41
"650",118,8
"650",128,25
"651",118,2
"651",128,19
"652",118,3
"652",128,12
"652",129,1
"653",128,4
"653",129,9
"653",130,3
"654",129,15
"654",130,6
"655",129,4
"655",130,16
"656",130,34
"657",130,21
"658",122,11
"659",122,3
"66",1,1
"66",7,32
"660",122,9
"661",121,22
"661",122,2
"662",120,12
"662",121,8
"663",120,25
"664",120,13
"665",120,4
"665",124,1
"665",125,2
"666",120,1
"666",124,8
"666",125,11
"667",125,18
"668",125,6
"668",126,3
"669",126,52
"67",1,23
"67",6,1
"67",7,21
"670",126,25
"671",126,21
"671",127,2
"672",126,10
"672",127,11
"673",126,4
"673",127,2
"674",128,11
"675",128,14
"676",128,3
"677",129,19
"678",129,31
"679",129,23
"679",130,2
"68",1,10
"68",6,10
"680",130,24
"681",130,27
"682",130,9
"683",122,3
"684",122,20
"685",120,4
"685",122,14
"686",120,9
"686",122,4
"687",120,12
"687",124,6
"688",124,26
"689",124,19
"69",1,38
"690",124,32
"690",125,2
"690",138,25
"691",127,1
"691",138,5
"692",126,3
"692",127,28
"693",126,26
"693",127,26
"694",127,8
"695",127,22
"696",127,118
"696",137,1
"697",128,6
"698",128,35
"699",128,8
"699",129,7
"7",1,48
"70",1,95
"70",4,2
"700",129,12
"701",129,29
"702",129,6
"702",130,4
"703",129,3
"703",130,22
"704",130,11
"705",130,7
"706",122,5
"706",123,2
"707",122,12
"707",123,6
"708",122,3
"708",123,3
"709",123,9
"71",1,31
"71",4,28
"710",123,6
"710",124,15
"710",138,1
"711",124,14
"711",138,24
"712",127,1
"712",138,17
"713",127,14
"714",127,13
"715",127,2
"715",137,3
"716",127,3
"716",137,10
"717",127,4
"717",137,28
"718",137,13
"719",128,13
"72",1,11
"72",4,36
"720",128,28
"721",132,1
"722",129,1
"722",130,2
"723",129,7
"723",130,3
"723",132,6
"724",130,30
"724",131,11
"725",130,3
"725",131,4
"726",130,19
"726",131,4
"727",123,13
"728",123,11
"729",123,19
"73",3,2
"73",4,34
"730",123,9
"731",123,4
"731",138,7
"732",123,4
"732",137,2
"732",138,32
"732",139,2
"733",127,1
"733",137,7
"733",138,4
"734",137,17
"735",137,19
"736",137,9
"737",137,26
"738",137,24
"739",128,5
"739",132,3
"74",3,26
"74",4,6
"740",128,3
"740",132,17
"741",132,11
"742",132,27
"743",131,5
"743",132,18
"744",131,13
"745",131,12
"746",131,6
"747",131,3
"748",123,3
"749",139,15
"75",3,31
"750",139,54
"751",137,11
"751",139,3
"752",137,9
"753",137,20
"754",135,1
"754",137,8
"755",135,2
"755",137,3
"756",137,2
"757",135,4
"758",132,16
"759",132,25
"76",3,2
"76",21,45
"76",22,4
"760",132,31
"761",132,24
"762",131,13
"763",131,6
"764",131,2
"765",139,1
"766",139,17
"767",139,7
"767",140,9
"768",137,1
"769",135,5
"769",137,29
"77",21,69
"770",137,5
"771",135,6
"772",135,13
"773",135,19
"774",132,15
"774",135,7
"775",132,28
"776",131,3
"776",132,12
"777",131,6
"777",132,17
"778",131,21
"779",131,1
"78",21,78
"780",131,1
"781",140,3
"782",140,2
"783",136,29
"783",140,1
"784",136,29
"785",136,16
"786",136,2
"787",135,6
"788",135,7
"789",132,1
"789",134,5
"789",135,3
"79",21,6
"790",131,5
"790",132,5
"791",131,4
"792",131,2
"793",131,2
"794",131,1
"795",136,15
"796",136,19
"797",136,13
"798",134,4
"799",134,11
"8",11,10
"80",20,3
"800",134,25
"801",131,19
"802",131,24
"803",131,1
"804",131,1
"805",136,3
"806",136,2
"807",136,10
"808",133,7
"808",134,8
"808",136,1
"809",133,1
"809",134,8
"81",20,5
"810",134,16
"811",131,5
"811",134,1
"812",131,25
"813",131,1
"814",136,8
"815",133,3
"816",133,2
"817",133,10
"817",134,2
"818",131,2
"818",133,7
"818",134,14
"819",131,12
"82",14,32
"82",20,1
"820",131,1
"821",133,7
"822",133,4
"823",131,2
"823",133,6
"824",131,6
"824",133,3
"825",131,4
"826",131,31
"826",133,2
"827",131,8
"828",131,3
"829",131,1
"83",14,41
"84",14,21
"85",12,1
"85",14,22
"86",13,4
"86",14,15
"87",14,27
"88",14,14
"89",10,1
"89",11,11
"89",14,15
"9",1,33
"90",10,9
"90",11,2
"91",10,13
"91",11,3
"92",7,21
"92",10,27
"93",6,4
"93",7,27
"94",6,14
"94",7,15
"95",6,70
"95",7,5
"96",6,39
"97",1,3
"97",5,1
"97",6,7
"98",1,7
"98",4,43
"98",5,34
"99",4,11
"99",5,20
